[2022-09-27 16:16:10.443267] on (Windows-10-10.0.19044-SP0, Intel64 Family 6 Model 140 Stepping 1, GenuineIntel) using (Train: 12500, Test: 2500)
--- [2022-09-27 16:22:34.715492] Running Parameter-Tests [SKLEARN-NN] ---
	Best parameters set found on following development set:
		Support Vector: MLPClassifier(alpha=0.001, batch_size=64, hidden_layer_sizes=(512,),
              max_iter=20, solver='sgd')
		Support Vector Parametrization: {'activation': 'relu', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (512,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
		Asserted Score: 0.43347332533013205
Total Score 		 Configurations
0.385 (+/-0.003)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.350 (+/-0.016)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.405 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.373 (+/-0.015)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.384 (+/-0.009)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.353 (+/-0.011)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
0.406 (+/-0.010)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'sgd'}
0.375 (+/-0.002)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (64,), 'learning_rate': 'adaptive', 'max_iter': 20, 'solver': 'adam'}
0.393 (+/-0.005)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'sgd'}
0.349 (+/-0.020)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 10, 'solver': 'adam'}
0.413 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'sgd'}
0.378 (+/-0.006)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'constant', 'max_iter': 20, 'solver': 'adam'}
0.387 (+/-0.008)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'sgd'}
0.362 (+/-0.013)	{'activation': 'tanh', 'alpha': 0.001, 'batch_size': 64, 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'max_iter': 10, 'solver': 'adam'}
